turnings:	186						
{	140	195	107	2041195	2195049	20	}
{	141	49	108	2195049	2049250	20	}
{	142	258	109	2226258	2258098	20	}
{	143	98	110	2258098	2098044	20	}
{	144	39	111	2061039	2039037	20	}
{	145	37	1	2039037	2037263	20	}
{	146	263	112	2037263	2263264	20	}
{	147	264	1	2263264	2264244	20	}
{	148	244	113	2264244	2244245	20	}
{	149	245	114	2244245	2245246	20	}
{	150	246	1	2245246	2246247	20	}
{	151	247	115	2246247	2247248	20	}
{	152	248	1	2247248	2248249	20	}
{	153	249	116	2248249	2249250	20	}
{	154	250	117	2249250	2259190	20	}
{	155	199	118	2259190	2199008	20	}
{	156	91	1	2001091	2091005	20	}
{	157	5	119	2091005	2005092	20	}
{	158	92	120	2005092	2092014	20	}
{	159	14	121	2092014	2014050	20	}
{	160	50	122	2014050	2050026	20	}
{	161	26	123	2050026	2026194	20	}
{	162	194	1	2026194	2194015	20	}
{	163	15	124	2194015	2015226	20	}
{	164	226	1	2015226	2226258	20	}
{	165	44	125	2098044	2044104	20	}
{	166	127	126	2104127	2127061	20	}
{	167	61	1	2127061	2061040	20	}
{	168	40	127	2061040	2040107	20	}
{	169	107	128	2040107	2107115	20	}
{	170	115	129	2107115	2115155	20	}
{	171	155	130	2115155	2155190	20	}
{	172	190	131	2155190	2190134	20	}
{	173	134	132	2190134	2134128	20	}
{	174	128	133	2134128	2128238	20	}
{	175	238	1	2128238	2238129	20	}
{	176	129	134	2238129	2129237	20	}
{	177	237	1	2129237	2237234	20	}
{	178	234	135	2237234	2234231	20	}
{	179	231	136	2234231	2231157	20	}
{	180	157	137	2231157	2157230	20	}
{	181	230	138	2157230	2230229	20	}
{	182	229	139	2230229	2229228	20	}
{	183	228	140	2229228	2228013	20	}
{	184	13	141	2228013	2013012	20	}
{	185	12	1	2013012	2012004	20	}
{	186	4	142	2012004	2004999	20	}
