links: 179			
periods: 1			
periodlength: 15000			
{	1001999	120	}
{	1001091	120	}
{	1002001	120	}
{	1003189	120	}
{	1005092	120	}
{	1014193	120	}
{	1018205	120	}
{	2205018	120	}
{	1019082	120	}
{	2082019	120	}
{	1026197	120	}
{	2197026	120	}
{	1027174	120	}
{	2174027	120	}
{	1033035	120	}
{	2035033	120	}
{	1033999	120	}
{	1034027	120	}
{	2027034	120	}
{	1035159	120	}
{	2159035	120	}
{	1037039	120	}
{	2039037	120	}
{	1039061	120	}
{	2061039	120	}
{	1040039	120	}
{	2039040	120	}
{	1041195	120	}
{	2195041	120	}
{	1044098	120	}
{	2098044	120	}
{	1048223	120	}
{	1048194	120	}
{	2194048	120	}
{	1051116	120	}
{	2116051	120	}
{	1061127	120	}
{	2127061	120	}
{	1080182	120	}
{	2182080	120	}
{	1082173	120	}
{	2173082	120	}
{	1091005	120	}
{	1092014	120	}
{	1098258	120	}
{	2258098	120	}
{	1100019	120	}
{	2019100	120	}
{	1100171	120	}
{	1104044	120	}
{	2044104	120	}
{	1107040	120	}
{	2040107	120	}
{	1113225	120	}
{	1115107	120	}
{	2107115	120	}
{	1116037	120	}
{	2037116	120	}
{	1118003	120	}
{	1127104	120	}
{	2104127	120	}
{	1128134	120	}
{	2134128	120	}
{	1129238	120	}
{	2238129	120	}
{	1130192	120	}
{	2192130	120	}
{	1134190	120	}
{	2190134	120	}
{	1139051	120	}
{	2051139	120	}
{	1140139	120	}
{	2139140	120	}
{	1146041	120	}
{	2041146	120	}
{	1147146	120	}
{	1155115	120	}
{	2115155	120	}
{	1157231	120	}
{	2231157	120	}
{	1159034	120	}
{	2034159	120	}
{	1171147	120	}
{	2147171	120	}
{	1173018	120	}
{	2018173	120	}
{	1174080	120	}
{	2080174	120	}
{	1182999	120	}
{	1183224	120	}
{	1189002	120	}
{	1190155	120	}
{	2155190	120	}
{	1192033	120	}
{	2033192	120	}
{	1193118	120	}
{	1194026	120	}
{	2026194	120	}
{	1195048	120	}
{	2048195	120	}
{	1197193	120	}
{	2193197	120	}
{	1200130	120	}
{	2130200	120	}
{	1203204	120	}
{	2204203	120	}
{	1204200	120	}
{	2200204	120	}
{	1205203	120	}
{	2203205	120	}
{	1210051	120	}
{	2051210	120	}
{	1212211	120	}
{	2211212	120	}
{	1213227	120	}
{	2227213	120	}
{	1214213	120	}
{	2213214	120	}
{	1215214	120	}
{	2214215	120	}
{	1216215	120	}
{	2215216	120	}
{	1217216	120	}
{	2216217	120	}
{	1218217	120	}
{	2217218	120	}
{	1222100	120	}
{	1223113	120	}
{	1224222	120	}
{	1225183	120	}
{	1226048	120	}
{	2048226	120	}
{	1227212	120	}
{	2212227	120	}
{	1228229	120	}
{	2229228	120	}
{	1229230	120	}
{	2230229	120	}
{	1230157	120	}
{	2157230	120	}
{	1231234	120	}
{	2234231	120	}
{	1234237	120	}
{	2237234	120	}
{	1237129	120	}
{	2129237	120	}
{	1238128	120	}
{	2128238	120	}
{	1242140	120	}
{	2140242	120	}
{	1244242	120	}
{	2242244	120	}
{	1245244	120	}
{	2244245	120	}
{	1246245	120	}
{	2245246	120	}
{	1247246	120	}
{	2246247	120	}
{	1248247	120	}
{	2247248	120	}
{	1249248	120	}
{	2248249	120	}
{	1250999	120	}
{	1250249	120	}
{	2249250	120	}
{	1253218	120	}
{	2218253	120	}
{	1253999	120	}
{	1253228	120	}
{	2228253	120	}
{	1258226	120	}
{	2226258	120	}
{	1888253	120	}
{	1888250	120	}
{	1888033	120	}
{	1888001	120	}
{	1888182	120	}
{	1211210	120	}
{	2210211	120	}
