1	merkazit_krayot	1	-1.#IND	1.#INF	1.00006	0	0.0166667	-1.#IND	-1.#IND	1	0	0	0	-1.#IND	89.9983	-1.#IND	0	
28	lin	2	299.371	5.32239	32838.2	0	0	46.8495	0.493095	0	1	0	0	0	0	0	0	
29	dolfin	1	179.755	5.24844	30868	0	0	30.7784	0.356164	0	1	0	0	0	0	0	0	
29	dolfin	2	299.197	5.31754	35405.4	0	0	45.2172	0.482062	0	1	0	0	0	0	0	0	
30	kiryat_eliezer	1	179.7	5.25842	33192.3	0	0	29.9012	0.295224	0	1	0	0	0	0	0	0	
31	alenbi	1	179.442	5.25842	38080.1	0	0	28.3806	0.295224	0	1	0	0	0	0	0	0	
33	ein_hayam	1	179.245	5.25842	40623.5	0	0	27.5249	0.295224	0	1	0	0	0	0	0	0	
35	haetzel	1	178.967	5.25842	43254.8	0	0	29.5532	0.295224	0	1	0	0	0	0	0	0	
36	neve_david	1	178.673	5.25842	45963.1	0	0	31.0681	0.295224	0	1	0	0	0	0	0	0	
37	kfar_samir	1	179.304	5.25842	48751.2	0	0	31.8535	0.295224	0	1	0	0	0	0	0	0	
38	matam	1	180.219	5.25842	51643.7	0	0	35.5888	0.295224	0	1	0	0	0	0	0	0	
39	merkazit_hakarmel	1	180.316	5.25842	57754.1	0	0	37.1821	0.295224	0	1	0	0	0	0	0	0	
40	rafael	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
41	ilanot	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
42	savionei_yam	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
43	golda_meir	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
44	hapalmah	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
45	abir_yaakov	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
46	tzahal	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
47	kiryat_shmuel	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
48	zabutinski	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
49	mahal_sold	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
50	yehiam	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
51	dgania	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
52	haitztadyon	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
53	alexander_zaid	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
54	halutzei_hatasia	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
55	hagiborim	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
56	halisa	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
57	beit_hatasiya	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
58	shuk_talpiot_S	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
59	lev_hadar_S	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
60	beit_hakranot	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
62	hanevim	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
63	kiryat_ata	2	300	5.24574	0.664452	0	0	0.425313	0.300765	1	0	0	0	0	0	0	0	
64	moshe_hes	2	299.996	5.24574	77.396	0	0	0.81478	0.300765	0	1	0	0	0	0	0	0	
65	ainshtein	2	300.102	5.24574	245.726	0	0	3.67899	0.300765	0	1	0	0	0	0	0	0	
66	yoseftal	2	300.033	5.24574	510.552	0	0	4.53734	0.300765	0	1	0	0	0	0	0	0	
67	rabin	2	300.029	5.24574	869.646	0	0	5.61605	0.300765	0	1	0	0	0	0	0	0	
69	haatzmaut	2	299.9	5.24574	1315.27	0	0	8.06499	0.300765	0	1	0	0	0	0	0	0	
70	biyalik	2	300.074	5.24574	1805.8	0	0	13.8592	0.300765	0	1	0	0	0	0	0	0	
74	haamakim	2	299.443	5.24574	2429.22	0	0	34.1741	0.300765	0	1	0	0	0	0	0	0	
78	merkazit_hakarmel	11	180.012	5.21123	0.996678	0	0	0.483819	0.341289	1	0	0	0	0	0	0	0	
79	matam	11	180.042	5.21123	219.722	0	0	1.64716	0.341289	0	1	0	0	0	0	0	0	
80	kfar_samir	11	180.161	5.21123	411.132	0	0	9.7787	0.341289	0	1	0	0	0	0	0	0	
81	neve_david	11	180.214	5.21123	675.911	0	0	34.8888	0.341289	0	1	0	0	0	0	0	0	
82	haetzel	11	180.226	5.21123	1090.7	0	0	34.9908	0.341289	0	1	0	0	0	0	0	0	
