1	1	3	1	
1	3	4	0	
1	4	5	0	
1	5	6	0	
1	6	7	0	
1	7	8	0	
1	8	9	0	
1	9	10	0	
1	10	11	0	
1	11	12	0	
1	12	13	0	
1	26	27	0	
1	17	18	0	
1	13	14	0	
1	27	28	0	
1	25	26	0	
1	19	20	0	
1	23	24	0	
1	15	16	0	
1	14	15	0	
1	16	17	0	
1	18	19	0	
1	22	23	0	
1	20	21	0	
1	21	22	0	
1	24	25	0	
1	37	38	0	
1	33	35	0	
1	36	37	0	
1	28	29	0	
1	38	154	0	
1	29	30	0	
1	35	36	0	
1	31	33	0	
1	30	152	0	
1	154	39	0	
1	152	31	0	
2	10	11	0	
2	11	12	0	
2	12	13	0	
2	26	27	0	
2	17	18	0	
2	13	14	0	
2	27	28	0	
2	25	26	0	
2	19	20	0	
2	23	24	0	
2	15	16	0	
2	14	15	0	
2	16	17	0	
2	18	19	0	
2	22	23	0	
2	20	21	0	
2	21	22	0	
2	24	25	0	
2	28	29	0	
2	66	67	0	
2	65	66	0	
2	74	10	0	
2	69	70	0	
2	67	69	0	
2	63	64	0	
2	64	65	0	
2	70	74	0	
11	93	94	0	
11	95	96	0	
11	80	81	0	
11	83	84	0	
11	84	85	0	
11	88	89	0	
11	86	157	0	
11	90	91	0	
11	91	92	0	
11	94	95	0	
11	85	86	0	
11	89	90	0	
11	79	80	0	
11	81	82	0	
11	82	83	0	
11	92	93	0	
11	78	155	0	
11	87	88	0	
11	96	97	0	
11	155	79	0	
11	157	87	0	
22	93	94	0	
22	95	96	0	
22	88	89	0	
22	90	91	0	
22	91	92	0	
22	94	95	0	
22	89	90	0	
22	92	93	0	
22	96	97	0	
33	101	102	0	
33	105	123	0	
33	102	103	0	
33	100	101	0	
33	118	119	0	
33	119	120	0	
33	117	118	0	
33	120	121	0	
33	121	122	0	
33	103	104	0	
33	122	100	0	
33	104	105	0	
