stops:	1434													
{	21324	Hallunda	3635	629	100	0	0	5	1 0 }					
{	21325	Norsborg	3635	1	100	0	0	5	1 0 }					
{	141	Morby_centrum	12	50	100	0	0	5	1 0 }					
{	142	Danderyds_sjukhus	23	50	100	0	0	5	1 0 }					
{	143	Bergshamra	34	50	100	0	0	5	1 0 }					
{	144	Universitetet	45	50	100	0	0	5	1 0 }					
{	145	Tekniska_hogskolan	56	50	100	0	0	5	1 0 }					
{	146	Stadion	67	50	100	0	0	5	1 0 }					
{	1415	Midsommarkransen	1516	50	100	0	0	5	1 0 }					
{	1416	Telefonplan	1617	50	100	0	0	5	1 0 }					
{	1417	Hagerstensasen	1718	50	100	0	0	5	1 0 }					
{	1418	Vastertorp	1819	50	100	0	0	5	1 0 }					
{	1419	Fruangen	1819	50	100	0	0	5	1 0 }					
{	2141	Morby_centrum	21	50	100	0	0	5	1 0 }					
{	2142	Danderyds_sjukhus	32	50	100	0	0	5	1 0 }					
{	2143	Bergshamra	43	50	100	0	0	5	1 0 }					
{	2144	Universitetet	54	50	100	0	0	5	1 0 }					
{	2145	Tekniska_hogskolan	65	50	100	0	0	5	1 0 }					
{	2146	Stadion	76	50	100	0	0	5	1 0 }					
{	21415	Midsommarkransen	1615	50	100	0	0	5	1 0 }					
{	21416	Telefonplan	1716	50	100	0	0	5	1 0 }					
{	21417	Hagerstensasen	1817	50	100	0	0	5	1 0 }					
{	21418	Vastertorp	1918	50	100	0	0	5	1 0 }					
{	21419	Fruangen	1918	50	100	0	0	5	1 0 }					
{	1719	Skarmarbrink	7181	749	100	0	0	5	1 0 }					
{	1720	Hammarbyhojden	8283	1	100	0	0	5	1 0 }					
{	1721	Bjorkhagen	8384	1	100	0	0	5	1 0 }					
{	1722	Karrtorp	8485	1	100	0	0	5	1 0 }					
{	1723	Bagarmossen	8586	1	100	0	0	5	1 0 }					
{	1724	Skarpnack	8586	1049	100	0	0	5	1 0 }					
{	21719	Skarmarbrink	8171	1	100	0	0	5	1 0 }					
{	21720	Hammarbyhojden	8382	909	100	0	0	5	1 0 }					
{	21721	Bjorkhagen	8483	749	100	0	0	5	1 0 }					
{	21722	Karrtorp	8584	1399	100	0	0	5	1 0 }					
{	21723	Bagarmossen	8685	1049	100	0	0	5	1 0 }					
{	21724	Skarpnack	8685	1	100	0	0	5	1 0 }					
{	1816	Blasut	8788	1	100	0	0	5	1 0 }					
{	1817	Sandsborg	8889	1	100	0	0	5	1 0 }					
{	1818	Skogskyrkogarden	8990	1	100	0	0	5	1 0 }					
{	1819	Tallkrogen	9091	1	100	0	0	5	1 0 }					
{	1820	Gubbangn	9192	1	100	0	0	5	1 0 }					
{	1821	Hokarangen	9293	1	100	0	0	5	1 0 }					
{	1822	Farsta	9394	1	100	0	0	5	1 0 }					
{	1823	Farsta_strand	9394	919	100	0	0	5	1 0 }					
{	21816	Blasut	8887	629	100	0	0	5	1 0 }					
{	21817	Sandsborg	8988	649	100	0	0	5	1 0 }					
{	21818	Skogskyrkogarden	9089	1099	100	0	0	5	1 0 }					
{	21819	Tallkrogen	9190	999	100	0	0	5	1 0 }					
{	21820	Gubbangn	9291	549	100	0	0	5	1 0 }					
{	21821	Hokarangen	9392	1759	100	0	0	5	1 0 }					
{	21822	Farsta	9493	919	100	0	0	5	1 0 }					
{	21823	Farsta_strand	9493	1	100	0	0	5	1 0 }					
{	191	Hasselby_strand	5051	1	100	0	0	5	1 0 }					
{	192	Hasselby_gard	5152	1	100	0	0	5	1 0 }					
{	193	Johannelund	5253	1	100	0	0	5	1 0 }					
{	194	Vallingby	5354	1	100	0	0	5	1 0 }					
{	195	Racksta	5455	1	100	0	0	5	1 0 }					
{	196	Blackberg	5556	1	100	0	0	5	1 0 }					
{	197	Islandstorget	5657	1	100	0	0	5	1 0 }					
{	198	Angbyplan	5758	1	100	0	0	5	1 0 }					
{	199	Akeshov	5859	1	100	0	0	5	1 0 }					
{	1910	Brommaplan	5960	1	100	0	0	5	1 0 }					
{	1911	Abrahmasberg	6061	1	100	0	0	5	1 0 }					
{	1912	Stora_mossen	6162	1	100	0	0	5	1 0 }					
{	1913	Alvik	6263	1	100	0	0	5	1 0 }					
{	1914	Kristineberg	6364	1	100	0	0	5	1 0 }					
{	1915	Thorilsplan	6447	1	100	0	0	5	1 0 }					
{	1916	Fridhemsplan	4765	1	100	0	0	5	1 0 }					
{	1917	St_eriksplan	6566	1	100	0	0	5	1 0 }					
{	1918	Odenplan	6667	1	100	0	0	5	1 0 }					
{	1919	Radmansgatan	6768	1	100	0	0	5	1 0 }					
{	1920	Hotorget	688	1	100	0	0	5	1 0 }					
{	1921	T_centralen	89	1	100	0	0	5	1 0 }					
{	1922	Gamla_stan	910	1	100	0	0	5	1 0 }					
{	1923	Slussen	1069	1	100	0	0	5	1 0 }					
{	1924	Medborgarplatsen	6970	1	100	0	0	5	1 0 }					
{	1925	Skanstull	7071	1	100	0	0	5	1 0 }					
{	1926	Gullmarsplan	7071	819	100	0	0	5	1 0 }					
{	1927	Globen	7273	50	100	0	0	5	1 0 }					
{	1928	Enskede_gard	7374	1	100	0	0	5	1 0 }					
{	1929	Sockenplan	7475	1	100	0	0	5	1 0 }					
{	1930	Svedmyra	7576	1	100	0	0	5	1 0 }					
{	1931	Stureby	7677	1	100	0	0	5	1 0 }					
{	1932	Bandhagen	7778	1	100	0	0	5	1 0 }					
{	1933	Hogdalen	7879	1	100	0	0	5	1 0 }					
{	1934	Ragsved	7980	1	100	0	0	5	1 0 }					
{	1935	Hagsatra	7980	1369	100	0	0	5	1 0 }					
{	2191	Hasselby_strand	5150	949	100	0	0	5	1 0 }					
{	2192	Hasselby_gard	5251	799	100	0	0	5	1 0 }					
{	2193	Johannelund	5352	999	100	0	0	5	1 0 }					
{	2194	Vallingby	5453	1019	100	0	0	5	1 0 }					
{	2195	Racksta	5554	719	100	0	0	5	1 0 }					
{	2196	Blackberg	5655	699	100	0	0	5	1 0 }					
{	2197	Islandstorget	5756	869	100	0	0	5	1 0 }					
{	2198	Angbyplan	5857	1019	100	0	0	5	1 0 }					
{	2199	Akeshov	5958	1079	100	0	0	5	1 0 }					
{	21910	Brommaplan	6059	799	100	0	0	5	1 0 }					
{	21911	Abrahmasberg	6160	639	100	0	0	5	1 0 }					
{	21912	Stora_mossen	6261	569	100	0	0	5	1 0 }					
{	21913	Alvik	6362	1779	100	0	0	5	1 0 }					
{	21914	Kristineberg	6463	569	100	0	0	5	1 0 }					
{	21915	Thorilsplan	4764	1009	100	0	0	5	1 0 }					
{	21916	Fridhemsplan	6547	919	100	0	0	5	1 0 }					
{	21917	St_eriksplan	6665	449	100	0	0	5	1 0 }					
{	21918	Odenplan	6766	949	100	0	0	5	1 0 }					
{	21919	Radmansgatan	6867	429	100	0	0	5	1 0 }					
{	21920	Hotorget	868	829	100	0	0	5	1 0 }					
{	21921	T_centralen	98	1009	100	0	0	5	1 0 }					
{	21922	Gamla_stan	109	539	100	0	0	5	1 0 }					
{	21923	Slussen	6910	449	100	0	0	5	1 0 }					
{	21924	Medborgarplatsen	7069	709	100	0	0	5	1 0 }					
{	21925	Skanstull	7170	819	100	0	0	5	1 0 }					
{	21926	Gullmarsplan	7170	1	100	0	0	5	1 0 }					
{	21927	Globen	7372	799	100	0	0	5	1 0 }					
{	21928	Enskede_gard	7473	769	100	0	0	5	1 0 }					
{	21929	Sockenplan	7574	699	100	0	0	5	1 0 }					
{	21930	Svedmyra	7675	779	100	0	0	5	1 0 }					
{	21931	Stureby	7776	629	100	0	0	5	1 0 }					
{	21932	Bandhagen	7877	849	100	0	0	5	1 0 }					
{	21933	Hogdalen	7978	1209	100	0	0	5	1 0 }					
{	21934	Ragsved	8079	1369	100	0	0	5	1 0 }					
{	21935	Hagsatra	8079	1	100	0	0	5	1 0 }					
{	401	Radiohuset	400401	1	20	0	1	0	2 0 }					
{	402	Garnisonen	401402	1	20	0	1	0	2 0 }					
{	403	Banérgatan	402403	1	20	0	1	0	2 0 }					
{	404	Värtavägen	403404	1	20	0	1	0	2 0 }					
{	405	Jungfrugatan	404405	1	20	0	1	0	2 0 }					
{	406	Musikhögskolan	405406	1	20	0	1	0	2 0 }					
{	407	Stadion	406407	1	20	0	1	0	2 0 }					
{	408	Östra_station	407408	1	20	0	1	0	2 0 }					
{	409	Odengatan	408409	1	20	0	1	0	2 0 }					
{	410	Roslagsgatan	409410	1	20	0	0	0	2 0 }					
{	411	Stadsbiblioteket	410411	1	20	0	0	0	2 0 }					
{	412	Odenplan	411412	1	20	0	1	0	2 0 }					
{	413	Dalagatan	412413	1	20	0	1	0	2 0 }					
{	414	St_Eriksplan	413414	1	20	0	0	0	2 0 }					
{	415	Fleminggatan	414415	1	20	0	1	0	2 0 }					
{	416	Fridhemsplan	415416	1	20	0	1	0	2 0 }					
