servers:	142
{	1	0	0	0	0	}
{	2	3	52.89065663	1.241493979	0	}
{	3	3	39.30533872	1.183700071	0	}
{	4	3	32.26085259	1.148562327	0	}
{	5	3	38.56012406	1.320213743	0	}
{	6	3	55.60050139	1.383611059	0	}
{	7	3	30.1909335	1.087791462	0	}
{	8	3	37.92310872	1.164194219	0	}
{	9	3	32.94171955	1.148022189	0	}
{	10	3	32.94171955	1.148022189	0	}
{	11	3	32.94171955	1.148022189	0	}
{	12	3	32.94171955	1.148022189	0	}
{	13	3	31.69592428	1.127737103	0	}
{	14	3	42.18854776	1.184003523	0	}
{	15	3	19.32162002	1.191870653	0	}
{	16	3	87.10263936	1.283230431	0	}
{	17	3	86.62246517	1.400442816	0	}
{	18	3	30.91774046	1.123589612	0	}
{	19	3	86.43850126	1.176003586	0	}
{	20	3	35.04492529	1.351625619	0	}
{	21	3	41.87982896	1.186325452	0	}
{	22	3	32.35426848	1.104314989	0	}
{	23	3	34.29482846	1.122921902	0	}
{	24	3	57.11881072	1.367378725	0	}
{	25	3	23.8211821	1.089640754	0	}
{	26	3	85.92519516	1.39827979	0	}
{	27	3	58.6156016	1.296352818	0	}
{	28	3	32.13917047	1.24544642	0	}
{	29	3	32.2022131	1.398656286	0	}
{	30	3	64.18212377	1.295580649	0	}
{	31	3	31.43603062	1.155178802	0	}
{	32	3	93.93636688	1.221059283	0	}
{	33	3	34.10534678	1.382313334	0	}
{	34	3	23.18717961	1.132100578	0	}
{	35	3	51.40676034	1.336810087	0	}
{	36	3	53.62152204	1.499228864	0	}
{	37	3	40.13726666	1.220063989	0	}
{	38	3	362.6133844	1.35749226	0	}
{	39	3	141.6147577	1.32313439	0	}
{	40	3	32.39328788	1.117994944	0	}
{	41	3	57.67987368	1.376425779	0	}
{	42	3	58.77826825	1.312814521	0	}
{	43	3	32.51657288	1.435195896	0	}
{	44	3	74.70129859	1.40435928	0	}
{	45	3	32.73013297	1.604974157	0	}
{	46	3	53.66862434	1.191012122	0	}
{	47	3	33.14329948	1.239921801	0	}
{	48	3	23.64436166	1.084918242	0	}
{	49	3	37.54113248	1.326406833	0	}
{	50	3	51.84190629	1.220375223	0	}
{	51	3	31.02614891	1.148812381	0	}
{	52	3	35.85752585	1.14971036	0	}
{	53	3	19.12154529	1.185383015	0	}
{	54	3	86.89924795	1.275992751	0	}
{	55	3	69.76273363	1.315683782	0	}
{	56	3	34.19318968	1.326383333	0	}
{	57	3	23.64126512	1.124317561	0	}
{	58	3	84.48724768	1.338877459	0	}
{	59	3	55.26081993	1.116576912	0	}
{	60	3	24.31353198	1.133105801	0	}
{	61	3	122.2649157	1.216464952	0	}
{	62	3	44.95608004	1.237347507	0	}
{	63	3	36.38807096	1.152227813	0	}
{	64	3	88.49828294	1.186345361	0	}
{	65	3	59.88303201	1.277952323	0	}
{	66	3	38.31955545	1.323539545	0	}
{	67	3	77.54959592	1.32092592	0	}
{	68	3	64.77116929	1.34085037	0	}
{	69	3	54.1261915	1.679136921	0	}
{	70	3	65.68420772	1.328622552	0	}
{	71	3	90.82541706	1.517946016	0	}
{	72	3	130.736259	1.201898207	0	}
{	73	3	41.0572805	1.313996206	0	}
{	74	3	31.27307567	1.098742537	0	}
{	75	3	23.27348224	1.091771424	0	}
{	76	3	35.41855743	1.1229883	0	}
{	77	3	38.5633612	1.186426299	0	}
{	78	3	24.35850218	1.088945127	0	}
{	79	3	26.25981991	1.077622839	0	}
{	80	3	27.01606589	1.09653512	0	}
{	81	3	24.14037442	1.081940163	0	}
{	82	3	42.66259811	1.224577496	0	}
{	83	3	140.5045745	1.323959881	0	}
{	84	3	31.89374044	1.280079936	0	}
{	85	3	41.49285323	1.462077141	0	}
{	86	3	36.22050381	1.216014054	0	}
{	87	3	49.20545026	1.222896684	0	}
{	88	3	51.19476588	1.374849452	0	}
{	89	3	39.57143711	1.360663184	0	}
{	90	3	26.36538641	1.109437064	0	}
{	91	3	36.72768804	1.115313306	0	}
{	92	3	55.30697147	1.244679171	0	}
{	93	3	35.53074788	1.152050689	0	}
{	94	3	56.47985501	1.53844646	0	}
