87	1	4	1	3666.14	3666.14	1	1	-1.13044	1	
88	1	4	1	3671.48	3671.48	1	1	-0.962607	1	
89	1	4	1	3699.32	3699.32	1	1	-0.726728	1	
90	1	4	1	3733.17	3733.17	1	1	-0.820331	1	
92	1	4	1	3763	3763	1	1	-0.918846	1	
93	1	4	1	3774.22	3774.22	1	1	-0.776588	1	
95	1	4	1	3787.84	3787.84	1	1	-0.282915	1	
98	1	4	1	3911.23	3911.23	1	1	-0.610537	1	
94	1	4	1	3780.06	3780.06	1	1	-0.913549	1	
91	1	4	1	3757.35	3757.35	1	1	-0.387972	1	
84	1	4	1	3611.57	3611.57	1	1	-0.762876	1	
97	1	4	1	3848.43	3848.43	1	1	-0.690484	1	
115	1	4	1	4150.52	4150.52	1	1	-0.18267	1	
117	1	4	1	4196.59	4196.59	1	1	-0.709794	1	
118	1	4	1	4197.63	4197.63	1	1	-0.373801	1	
104	1	4	1	3968.54	3968.54	1	1	-0.812321	1	
120	1	4	1	4214.03	4214.03	1	1	-0.596136	1	
107	1	4	1	3981.75	3981.75	1	1	-0.867352	1	
106	1	4	1	3976.16	3976.16	1	1	-0.985194	1	
108	1	4	1	3983.11	3983.11	1	1	-0.646182	1	
109	1	4	1	4017.47	4017.47	1	1	-0.588886	1	
114	1	4	1	4137.07	4137.07	1	1	-0.815505	1	
111	1	4	1	4090.47	4090.47	1	1	-0.696832	1	
113	1	4	1	4132.06	4132.06	1	1	-1.16476	1	
119	1	4	1	4208.87	4208.87	1	1	-0.242294	1	
116	1	4	1	4163.46	4163.46	1	1	-0.855102	1	
112	1	4	1	4106.77	4106.77	1	1	-0.896648	1	
102	1	4	1	3952.56	3952.56	1	1	-0.747388	1	
103	1	4	1	3958.83	3958.83	1	1	-0.672315	1	
105	1	4	1	3968.64	3968.64	1	1	-0.621166	1	
110	1	4	1	4018.56	4018.56	1	1	-0.606034	1	
123	1	4	1	4280.44	4280.44	1	1	-1.08755	1	
134	1	4	1	4575.18	4575.18	1	1	-0.277941	1	
136	1	4	1	4589.07	4589.07	1	1	-1.06278	1	
126	1	4	1	4357.98	4357.98	1	1	-0.545249	1	
124	1	4	1	4299.48	4299.48	1	1	-0.966444	1	
125	1	4	1	4325.61	4325.61	1	1	-1.43258	1	
137	1	4	1	4593.03	4593.03	1	1	-1.17396	1	
131	1	4	1	4404.69	4404.69	1	1	-0.808539	1	
135	1	4	1	4576.8	4576.8	1	1	-0.432853	1	
132	1	4	1	4406.35	4406.35	1	1	-0.91248	1	
129	1	4	1	4389.52	4389.52	1	1	-0.893371	1	
138	1	4	1	4601.04	4601.04	1	1	-0.806013	1	
