4	D	1	360	1	1.1	0	0	4.06937e-013	0	1	0	0	19501.3	0	0	0	0	
4	D	3	900	1.00001	422.1	0	0	6.4311e-013	2.62549e-013	0	0	1	660	0	0	0	0	
4	D	4	180	1	418.9	0	0	2.13487e-013	0	0	1	0	24480	0	0	0	0	
1	A	1	360	1	1e-006	0.916667	15.3333	1.7158e-013	0	1	0	0	0	184	33120	0	0	
1	A	2	360	2	1e-006	0	0.916667	1.7158e-013	0	1	0	0	0	22	1980	0	0	
2	B	2	360	1	2.10001	0	0	1.60777e-013	0	1	0	0	0	0	0	0	0	
2	B	3	900	1	0.100061	0	0	2.66619e-013	0	1	0	0	0	0	0	0	0	
3	C	2	360	1	3.10007	0	0	3.44204e-013	0	1	0	0	0	0	0	0	0	
3	C	3	900	1	1.10008	0	0	2.66619e-013	0	1	0	0	0	0	0	0	0	
3	C	4	180	1	0.100121	0	0	1.14572e-013	0	1	0	0	0	0	0	0	0	
4	D	1	360	1	1.1	0	0	4.06937e-013	0	1	0	0	135009	0	0	0	0	
4	D	3	900	1.00001	422.1	0	0	6.4311e-013	2.62549e-013	0	0	1	0	0	0	0	0	
4	D	4	180	1	418.9	0	0	2.13487e-013	0	0	1	0	0	0	0	0	0	
