 passenger_rates: 140					
 format: 3 					
 					
{	217619	217604	6	 }	
{	217619	217602	6	 }	
{	217619	217603	6	 }
{	217618	217604	6	 }
{	217618	217602	6	 }
{	217617	217604	6	 }
{	217617	217602	6	 }
{	217617	217600	6	 }
{	217617	277015	6	 }
{	217616	217604	6	 }
{	217616	217602	6	 }
{	217616	277015	12	 }
{	217616	277014	6	 }
{	217616	277013	6	 }
{	217616	277010	6	 }
{	217615	217604	6	 }
{	217615	217602	6	 }
{	217615	277015	12	 }
{	217615	277014	6	 }
{	217615	277013	6	 }
{	217614	217602	6	 }
{	217613	217602	6	 }
{	217612	277015	6	 }
{	217611	277015	12	 }
{	217611	277014	6	 }
{	217611	277013	6	 }
{	217611	277011	6	 }
{	217611	277010	6	 }
{	217611	277009	6	 }
{	217611	277008	6	 }
{	217611	277007	6	 }	 
{	217610	277015	6	 }
{	217609	277015	12	 }
{	217608	277015	6	 }
{	217607	277015	6	 }
{	217602	277015	12	 }
{	217602	277014	6	 }
{	217602	277013	6	 }
{	217602	277011	6	 }
{	217602	277010	6	 }
{	217602	277009	6	 }
{	217603	277015	12	 }
{	217603	277014	6	 }
{	217603	277013	6	 }
{	217603	277011	6	 }
{	217603	277010	6	 }
{	217603	277009	6	 }
{	217600	277015	6	 }
{	277036	277028	6	 }
{	277036	277026	6	 }
{	277036	277015	18	 }
{	277036	277014	6	 }
{	277035	277034	6	 }
{	277035	277027	6	 }
{	277035	277026	6	 }
{	277034	277026	6	 }
{	277034	277015	18	 }
{	277034	277014	6	 }
{	277034	277013	6	 }
{	277033	277026	6	 }
{	277033	277015	12	 }
{	277032	277015	18	 }
{	277032	277014	6	 }
{	277031	277015	18	 }
{	277031	277014	6	 }
{	277031	277013	6	 }
{	277031	277011	6	 }
{	277031	277010	6	 }
{	277030	277015	12	 }
{	277030	277014	6	 }
{	277030	277013	6	 }
{	277030	277011	6	 }
{	277030	277010	6	 }
{	277029	277015	12	 }
{	277029	277014	6	 }
{	277028	277015	12	 }
{	277027	277015	6	 }
{	277026	277015	12	 }
{	277026	277013	6	 }
{	277026	277011	6	 }
{	277026	277010	6	 }
{	277026	277009	6	 }
{	277026	277008	6	 }
{	277026	277007	12	 }
{	277026	277006	6	 }
{	277024	277015	12	 }
{	277023	277015	12	 }
{	277022	277015	12	 }
{	277021	277015	12	 }
{	277020	277015	12	 }
{	277019	277015	12	 }
{	277018	277015	12	 }
{	277016	277015	24	 }
{	277016	277014	12	 }
{	277016	277011	12	 }
{	277016	277010	12	 }
{	277016	277008	12	 }
{	277015	277010	12	 }
{	277015	277008	12	 }
{	277014	277013	24	 }
{	277014	277012	24	 }
{	277014	277011	24	 }
{	277014	277010	36	 }
{	277014	277009	24	 }
{	277014	277008	24	 }
{	277014	277007	48	 }
{	277014	277006	24	 }
{	277014	277005	24	 }
{	277014	277004	12	 }
{	277014	277003	24	 }
{	277014	277002	48	 }
{	277014	277001	36	 }
{	277013	277010	12	 }
{	277013	277007	24	 }
{	277013	277006	12	 }
{	277012	277007	24	 }
{	277012	277005	12	 }
{	277012	277004	12	 }
{	277011	277007	24	 }
{	277011	277005	12	 }
{	277011	277003	12	 }
{	277011	277002	12	 }
{	277010	277007	24	 }
{	277009	277007	24	 }
{	277009	277005	12	 }
{	277009	277002	24	 }
{	277008	277007	24	 }
{	277008	277005	12	 }
{	277008	277002	36	 }
{	277008	277001	12	 }
{	277007	277006	24	 }
{	277007	277005	36	 }
{	277007	277004	12	 }
{	277007	277003	24	 }
{	277007	277002	60	 }
{	277007	277001	24	 }
{	277006	277005	12	 }
{	277005	277002	24	 }
{	277004	277002	12	 }
{	277002	277001	12	 }
