od_pairs:	70
scale:	1.0
{ 121 126 0 }
{ 123 126 0 }
{ 103 106 0 }
{ 101 108 0 }
{ 111 120 0 }
{ 113 118 0 }
{ 109 116 0 }
{ 125 122 0 }
{ 125 124 0 }
{ 105 104 0 }
{ 107 102 0 }
{ 119 112 0 }
{ 117 114 0 }
{ 115 110 0 }
{ 432 433 0 }
{ 434 435 0 }
{ 1033 1034 0 }
{ 1035 1036 0 }
{ 3027 3030 0 }
{ 3029 3028 0 }
{ 2025 2024 0 }
{ 2023 2026 0 }
{ 2218 2221 0 }
{ 2220 2219 0 }
{ 7628 7631 0 }
{ 7630 7629 0 }
{ 3626	3625	0 }
{ 3627	3628	0 }
{ 3529	3530	0 }
{ 3531	3532	0 }
{ 7234	7233	0 }
{ 7235	7236	0 }
{ 7332	7331	0 }
{ 7333	7334	0 }
{ 7738	7737	0 }
{ 7739	7740	0 }
{ 7822	7821	0 }
{ 7823	7824	0 }
{ 1781	1780	0 }
{ 1782	1783	0 }
{ 7920	7919	0 }
{ 7921	7922	0 }
{ 3805	3804	0 }
{ 3806	3807	0 }
{ 7100	7101	0 }
{ 7102	7103	0 }
{ 3629	3630	0 }
{ 3631	3632	0 }
{ 3633	3634	0 }
{ 3635	3636	0 }
{ 3533	3534	0 }
{ 3535	3536	0 }
{ 3537	3538	0 }
{ 3539	3540	0 }
{ 5123	5122	0 }
{ 5124	5125	0 }
{ 2500	2515	0 }
{ 2516 	2517	0 }
{ 47101	40050	0 }
{ 47401	40050	0 }
{ 42201	40050	0 }
{ 40000	47102	0 }
{ 40000	47402	0 }
{ 40000	42202	0 }
{ 2240	2221	0 }
{ 2220  2250    0 }
{ 7020  7021    0 }
{ 7022  7023    0 }
{ 7020  7024    0 }
{ 7025  7023    0 }

slices: 0

