links: 1129
periods: 1
periodlength: 15000
{	12	120	}
{	23	120	}
{	34	120	}
{	45	120	}
{	56	120	}
{	67	120	}
{	78	120	}
{	89	120	}
{	910	120	}
{	1011	120	}
{	1112	120	}
{	1213	120	}
{	1314	120	}
{	1415	120	}
{	1516	120	}
{	1617	120	}
{	1718	120	}
{	1819	120	}
{	21	120	}
{	32	120	}
{	43	120	}
{	54	120	}
{	65	120	}
{	76	120	}
{	87	120	}
{	98	120	}
{	109	120	}
{	1110	120	}
{	1211	120	}
{	1312	120	}
{	1413	120	}
{	1514	120	}
{	1615	120	}
{	1716	120	}
{	1817	120	}
{	1918	120	}
{	10101	120	}
{	10102	120	}
{	107019	120	}
{	190108	120	}
{	2021	120	}
{	2122	120	}
{	227	120	}
{	722	120	}
{	2221	120	}
{	2120	120	}
{	1423	120	}
{	2324	120	}
{	2425	120	}
{	2526	120	}
{	2627	120	}
{	2728	120	}
{	2829	120	}
{	2930	120	}
{	3031	120	}
{	3132	120	}
{	3233	120	}
{	3334	120	}
{	3435	120	}
{	3536	120	}
{	2314	120	}
{	2423	120	}
{	2524	120	}
{	2625	120	}
{	2726	120	}
{	2827	120	}
{	2928	120	}
{	3029	120	}
{	3130	120	}
{	3231	120	}
{	3332	120	}
{	3433	120	}
{	3534	120	}
{	3635	120	}
{	103020	120	}
{	200104	120	}
{	105036	120	}
{	360106	120	}
{	3738	120	}
{	3839	120	}
{	3940	120	}
{	4041	120	}
{	4142	120	}
{	4243	120	}
{	4344	120	}
{	4445	120	}
{	4546	120	}
{	4647	120	}
{	4748	120	}
{	488	120	}
{	849	120	}
{	3837	120	}
{	3938	120	}
{	4039	120	}
{	4140	120	}
{	4241	120	}
{	4342	120	}
{	4443	120	}
{	4544	120	}
{	4645	120	}
{	4746	120	}
{	4847	120	}
{	848	120	}
{	498	120	}
{	121037	120	}
{	370122	120	}
{	125049	120	}
{	490126	120	}
{	9596	120	}
{	9697	120	}
{	9798	120	}
{	9899	120	}
{	99100	120	}
{	10045	120	}
{	9695	120	}
{	9796	120	}
{	9897	120	}
{	9998	120	}
{	10099	120	}
{	45100	120	}
{	123095	120	}
{	950124	120	}
{	5051	120	}
{	5152	120	}
{	5253	120	}
{	5354	120	}
{	5455	120	}
{	5556	120	}
{	5657	120	}
{	5758	120	}
{	5859	120	}
{	5960	120	}
{	6061	120	}
{	6162	120	}
{	6263	120	}
{	6364	120	}
{	6447	120	}
{	4765	120	}
{	6566	120	}
{	6667	120	}
{	6768	120	}
{	688	120	}
{	1069	120	}
{	6970	120	}
{	7071	120	}
{	7172	120	}
{	7273	120	}
{	7374	120	}
{	7475	120	}
{	7576	120	}
{	7677	120	}
{	7778	120	}
{	7879	120	}
{	7980	120	}
{	5150	120	}
{	5251	120	}
{	5352	120	}
{	5453	120	}
{	5554	120	}
{	5655	120	}
{	5756	120	}
{	5857	120	}
{	5958	120	}
{	6059	120	}
{	6160	120	}
{	6261	120	}
{	6362	120	}
{	6463	120	}
{	4764	120	}
{	6547	120	}
{	6665	120	}
{	6766	120	}
{	6867	120	}
{	868	120	}
{	6910	120	}
{	7069	120	}
{	7170	120	}
{	7271	120	}
{	7372	120	}
{	7473	120	}
{	7574	120	}
{	7675	120	}
{	7776	120	}
{	7877	120	}
{	7978	120	}
{	8079	120	}
{	109050	120	}
{	500110	120	}
{	115080	120	}
{	800116	120	}
{	7181	120	}
{	8182	120	}
{	8283	120	}
{	8384	120	}
{	8485	120	}
{	8586	120	}
{	8171	120	}
{	8281	120	}
{	8382	120	}
{	8483	120	}
{	8584	120	}
{	8685	120	}
{	111058	120	}
{	580112	120	}
{	119086	120	}
{	860120	120	}
{	8187	120	}
{	8788	120	}
{	8889	120	}
{	8990	120	}
{	9091	120	}
{	9192	120	}
{	9293	120	}
{	9394	120	}
{	8781	120	}
{	8887	120	}
{	8988	120	}
{	9089	120	}
{	9190	120	}
{	9291	120	}
{	9392	120	}
{	9493	120	}
{	113062	120	}
{	620114	120	}
{	117094	120	}
{	940118	120	}
{	400401	120	}
{	401402	120	}
{	402403	120	}
{	403404	120	}
{	404405	120	}
{	405406	120	}
{	406407	120	}
{	407408	120	}
{	408409	120	}
{	409410	120	}
{	410411	120	}
{	411412	120	}
{	412413	120	}
{	413414	120	}
{	414415	120	}
{	415416	120	}
