turnings: 56

{ 1 7700 0 77387700 77007701 20 }
{ 2 7700 0 17817700 77007701 20 }
{ 3 7701 7701 77007701 77017702 20 }
{ 4 7702 7702 77017702 77027703 20 }
{ 5 7703 7703 77027703 77037704 20 }
{ 6 7704 7704 77037704 77047705 20 }
{ 7 7705 7705 77047705 77057706 20 }
{ 8 7706 7706 77057706 77067707 20 }
{ 9 7707 7707 77067707 77077708 20 }
{ 10 7708 7708 77077708 77087709 20 }
{ 11 7709 7709 77087709 77097710 20 }
{ 12 7710 7710 77097710 77107711 20 }
{ 13 7711 7711 77107711 77117712 20 }
{ 14 7712 7712 77117712 77127713 20 }
{ 15 7713 7713 77127713 77137714 20 }
{ 16 7714 7714 77137714 77147715 20 }
{ 17 7715 7715 77147715 77157716 20 }
{ 18 7716 7716 77157716 77167717 20 }
{ 19 7717 7717 77167717 77177718 20 }
{ 20 7718 7718 77177718 77187719 20 }
{ 21 7719 7719 77187719 77197720 20 }
{ 22 7720 7720 77197720 77207721 20 }
{ 23 7721 7721 77207721 77217722 20 }
{ 24 7722 7722 77217722 77227723 20 }
{ 25 7723 7723 77227723 77237724 20 }
{ 26 7724 7724 77237724 77247725 20 }
{ 27 7724 7724 77237724 77241760 20 }
{ 28 7725 7725 77247725 77257726 20 }
{ 29 7726 7726 77257726 77267727 20 }
{ 30 7727 7727 77267727 77277728 20 }
{ 31 7728 7728 77277728 77287729 20 }
{ 32 7729 7729 77287729 77297730 20 }
{ 33 7730 7730 77297730 77307731 20 }
{ 34 7731 7731 77307731 77317732 20 }
{ 35 7732 7732 77317732 77327733 20 }
{ 36 7733 7733 77327733 77337734 20 }
{ 37 7734 7734 77337734 77347735 20 }
{ 38 7735 7735 77347735 77357737 20 }
{ 39 1760 1760 77241760 17601761 20 }
{ 40 1761 1761 17601761 17611763 20 }
{ 41 1763 1761 17611763 17631764 20 }
{ 42 1764 1764 17631764 17641765 20 }
{ 43 1765 1765 17641765 17651766 20 }
{ 44 1766 1766 17651766 17661767 20 }
{ 45 1767 1767 17661767 17671768 20 }
{ 46 1768 1768 17671768 17681769 20 }
{ 47 1769 1769 17681769 17691770 20 }
{ 48 1770 1770 17691770 17701771 20 }
{ 49 1771 1771 17701771 17711772 20 }
{ 50 1772 1772 17711772 17721773 20 }
{ 51 1773 1773 17721773 17731774 20 }
{ 52 1774 1774 17731774 17741775 20 }
{ 53 1775 1775 17741775 17751776 20 }
{ 54 1776 1776 17751776 17761777 20 }
{ 55 1777 1777 17761777 17771778 20 }
{ 56 1778 0 17771778 17781780 20 }

giveways: 0
