links: 1129
periods: 1
periodlength: 15000

{	17817700	120	}
{	77387700	120	}
{	77007701	120	}
{	77017702	120	}
{	77027703	120	}
{	77037704	120	}
{	77047705	120	}
{	77057706	120	}
{	77067707	120	}
{	77077708	120	}
{	77087709	120	}
{	77097710	120	}
{	77107711	120	}
{	77117712	120	}
{	77127713	120	}
{	77137714	120	}
{	77147715	120	}
{	77157716	120	}
{	77167717	120	}
{	77177718	120	}
{	77187719	120	}
{	77197720	120	}
{	77207721	120	}
{	77217722	120	}
{	77227723	120	}
{	77237724	120	}
{	77247725	120	}
{	77257726	120	}
{	77267727	120	}
{	77277728	120	}
{	77287729	120	}
{	77297730	120	}
{	77307731	120	}
{	77317732	120	}
{	77327733	120	}
{	77337734	120	}
{	77347735	120	}
{	77357737	120	}
{	77241760	120	}
{	17601761	120	}
{	17611763	120	}
{	17631764	120	}
{	17641765	120	}
{	17651766	120	}
{	17661767	120	}
{	17671768	120	}
{	17681769	120	}
{	17691770	120	}
{	17701771	120	}
{	17711772	120	}
{	17721773	120	}
{	17731774	120	}
{	17741775	120	}
{	17751776	120	}
{	17761777	120	}
{	17771778	120	}
{	17781780	120	}
