servers: 55
{	0	3	1.44	1	0.5	}
{ 	1	3	1.44	1	0.5	}
{	7735	3	87	8.4	0.5	}
{	7734	3	108	10.8	0.5	}
{	7733	3	94	9.4	0.5	}
{	7732	3	63	6.3	0.5	}
{	7731	3	70	7	0.5	}
{	7730	3	85	8.5	0.5	}
{	7729	3	61	6.1	0.5	}
{	7728	3	79	7.9	0.5	}
{	7727	3	48	4.8	0.5	}
{	7726	3	27	2.7	0.5	}
{	7725	3	45	4.5	0.5	}
{	7724	3	58	5.8	0.5	}
{	7723	3	134	13.4	0.5	}
{	7722	3	93	9.3	0.5	}
{	7721	3	96	9.6	0.5	}
{	7720	3	128	12.8	0.5	}
{	7719	3	105	10.5	0.5	}
{	7718	3	85	8.5	0.5	}
{	7717	3	86	8.6	0.5	}
{	7716	3	93	9	0.5	}
{	7715	3	158	15.8	0.5	}
{	7714	3	193.3	19.3	0.5	}
{	7713	3	264	26.4	0.5	}
{	7712	3	83	8.3	0.5	}
{	7711	3	186	18.6	0.5	}
{	7710	3	200	20	0.5	}
{	7709	3	284	28.4	0.5	}
{	7708	3	155	15.5	0.5	}
{	7707	3	255	25.5	0.5	}
{	7706	3	114	11.4	0.5	}
{	7705	3	166	16.6	0.5	}
{	7704	3	144	14.4	0.5	}
{	7703	3	244	24.4	0.5	}
{	7702	3	293	29.3	0.5	}
{	7701	3	120	12	0.5	}
{	1777	3	40	4	0.5	}
{	1776	3	57	5.7	0.5	}
{	1775	3	23	2.3	0.5	}
{	1774	3	139	13.9	0.5	}
{	1773	3	107	10.7	0.5	}
{	1772	3	64	6.4	0.5	}
{	1771	3	120	12	0.5	}
{	1770	3	171	17.1	0.5	}
{	1769	3	28	2.8	0.5	}
{	1768	3	49	4.9	0.5	}
{	1767	3	66	6.6	0.5	}
{	1766	3	58	5.8	0.5	}
{	1765	3	74	7.4	0.5	}
{	1764	3	109	10.9	0.5	}
{	1763	3	47	4.7	0.5	}
{	1762	3	49	4.9	0.5	}
{	1761	3	9	0.9	0.5	}
{	1760	3	76	4	0.5	}

nodes: 59
{	7700	3	28852	30679	}	
{	7701	3	28542	30808	}	
{	7702	3	28112	32022	}	
{	7703	3	26972	32191	}	
{	7704	3	27326	33031	}	
{	7705	3	27351	33832	}	
{	7706	3	26898	33771	}	
{	7707	3	26189	34150	}	
{	7708	3	25766	34328	}	
{	7709	3	25400	34328	}	
{	7710	3	24898	35318	}	
{	7711	3	24443	35784	}	
{	7712	3	24116	36090	}	
{	7713	3	23145	36550	}	
{	7714	3	22875	36844	}	
{	7715	3	21750	37775	}	
{	7716	3	20799	38339	}	
{	7717	3	20213	38557	}	
{	7718	3	19513	38297	}	
{	7719	3	18907	38963	}	
{	7720	3	18589	40092	}	
{	7721	3	18224	41019	}	
{	7722	3	17966	41535	}	
{	7723	3	16614	42037	}	
{	7724	3	15834	41933	}	
{	7725	3	15654	42339	}	
{	7726	3	15512	42581	}	
{	7727	3	15280	42777	}	
{	7728	3	14784	43009	}	
{	7729	3	14654	43553	}	
{	7730	3	14346	44129	}	
{	7731	3	14618	44351	}	
{	7732	3	14846	44405	}	
{	7733	3	15190	44470	}	
{	7734	3	15632	44529	}	
{	7735	3	15988	44583	}	
{	7737	2	15988	44583	0	}
{	7738	1	28852	30679	}
{	1760	3	15834	41933	}	
{	1761	3	15654	42339	}	
{	1762	3	15774	42427	}	
{	1763	3	15834	41933	}	
{	1764	3	15706	41321	}	
{	1765	3	14388	41091	}	
{	1766	3	13710	40301	}	
{	1767	3	13446	39664	}	
{	1768	3	12997	39040	}	
{	1769	3	12656	38843	}	
{	1770	3	12140	38739	}	
{	1771	3	12140	38739	}	
{	1772	3	12140	38739	}	
{	1773	3	12140	38739	}	
{	1774	3	8667	37749	}	
{	1775	3	8667	37749	}	
{	1776	3	8667	37749	}	
{	1777	3	9075	36972	}	
{	1778	3	9075	36972	}	
{	1780	2	9075	36972	0	}
{	1781	1	28852	30679	}

sdfuncs:	3	
{	0	2	100	99.9	130	8	1.5	10	}	
{	1	1	140	14.0	130	8	1.5	10	}	
{	2	1	140	14.0	130	8	1.5	10	}	

links:	57						

{	17817700	1781	7700	10	2	0	}
{	77387700	7738	7700	10	2	0	}
{	77007701	7700	7701	500	2	0	}
{	77017702	7701	7702	1750	2	0	}
{	77027703	7702	7703	1460	2	0	}
{	77037704	7703	7704	860	2	0	}
{	77047705	7704	7705	990	2	0	}
{	77057706	7705	7706	680	2	0	}
{	77067707	7706	7707	1070	2	0	}
{	77077708	7707	7708	650	2	0	}
{	77087709	7708	7709	1190	2	0	}
{	77097710	7709	7710	840	2	0	}
{	77107711	7710	7711	780	2	0	}
{	77117712	7711	7712	350	2	0	}
{	77127713	7712	7713	1110	2	0	}
{	77137714	7713	7714	810	2	0	}
{	77147715	7714	7715	1550	2	0	}
{	77157716	7715	7716	910	2	0	}
{	77167717	7716	7717	840	2	0	}
{	77177718	7717	7718	830	2	0	}
{	77187719	7718	7719	1030	2	0	}
{	77197720	7719	7720	1250	2	0	}
{	77207721	7720	7721	940	2	0	}
{	77217722	7721	7722	910	2	0	}
{	77227723	7722	7723	1310	2	0	}
{	77237724	7723	7724	570	2	0	}
{	77247725	7724	7725	440	2	0	}
{	77257726	7725	7726	220	2	0	}
{	77267727	7726	7727	390	2	0	}
{	77277728	7727	7728	650	2	0	}
{	77287729	7728	7729	500	2	0	}
{	77297730	7729	7730	700	2	0	}
{	77307731	7730	7731	300	2	0	}
{	77317732	7731	7732	270	2	0	}
{	77327733	7732	7733	400	2	0	}
{	77337734	7733	7734	460	2	0	}
{	77347735	7734	7735	360	2	0	}
{	77357737	7735	7737	10	2	0	}
{	77241760	7724	1760	690	2	0	}
{	17601761	1760	1761	80	2	0	}
{	17611763	1761	1763	640	2	0	}
{	17631764	1763	1764	610	2	0	}
{	17641765	1764	1765	1420	2	0	}
{	17651766	1765	1766	970	2	0	}
{	17661767	1766	1767	760	2	0	}
{	17671768	1767	1768	860	2	0	}
{	17681769	1768	1769	640	2	0	}
{	17691770	1769	1770	360	2	0	}
{	17701771	1770	1771	1200	2	0	}
{	17711772	1771	1772	840	2	0	}
{	17721773	1772	1773	450	2	0	}
{	17731774	1773	1774	750	2	0	}
{	17741775	1774	1775	980	2	0	}
{	17751776	1775	1776	160	2	0	}
{	17761777	1776	1777	400	2	0	}
{	17771778	1777	1778	280	2	0	}
{	17781780	1778	1780	10	2	0	}
							
							
							
							
							
							
							
							
